classification;year;period;period_desc;aggregate_level;is_leaf_code;trade_flow_code;trade_flow;reporter_code;reporter;reporter_iso;partner_code;partner;partner_iso;second_partner_code;second_partner;second_partner_iso;customs_proc_code;customs;mode_of_transport_code;mode_of_transport;commodity_code;commodity;qty_unit_code;qty_unit;alt_qty_unit_code;alt_qty_unit;qty;alt_qty;netweight_kg;gross_weight_kg;trade_value_usd;cif_trade_value_usd;fob_trade_value_usd;flag
H1;1996;1996;1996;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1174020480;NA;NA;0
H1;1996;1996;1996;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   67121352;NA;NA;0
H1;1996;1996;1996;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1851442304;NA;NA;0
H1;1997;1997;1997;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   45250376;NA;NA;0
H1;1997;1997;1997;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1376218624;NA;NA;0
H1;1998;1998;1998;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   65713920;NA;NA;0
H1;1998;1998;1998;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1680187264;NA;NA;0
H1;1998;1998;1998;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   52198760;NA;NA;0
H1;1998;1998;1998;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1637215232;NA;NA;0
H1;1999;1999;1999;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   49798378;NA;NA;0
H1;1999;1999;1999;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  918443805;NA;NA;0
H1;1999;1999;1999;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   83723237;NA;NA;0
H1;1999;1999;1999;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1708183859;NA;NA;0
H1;2000;2000;2000;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   76059168;NA;NA;0
H1;2000;2000;2000;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  883563541;NA;NA;0
H1;2000;2000;2000;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   57717768;NA;NA;0
H1;2000;2000;2000;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1828213420;NA;NA;0
H1;2001;2001;2001;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  148634772;NA;NA;0
H1;2001;2001;2001;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1326442066;NA;NA;0
H1;2001;2001;2001;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    9154829;NA;NA;0
H1;2001;2001;2001;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1781233162;NA;NA;0
H2;2002;2002;2002;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  219747955;NA;NA;0
H2;2002;2002;2002;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1480871938;NA;NA;0
H2;2002;2002;2002;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   14603399;NA;NA;0
H2;2002;2002;2002;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 2052005287;NA;NA;0
H2;2003;2003;2003;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  481850243;NA;NA;0
H2;2003;2003;2003;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1227569542;NA;NA;0
H2;2003;2003;2003;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   13578290;NA;NA;0
H2;2003;2003;2003;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 2451554065;NA;NA;0
H2;2004;2004;2004;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  703797852;NA;NA;0
H2;2004;2004;2004;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1323167075;NA;NA;0
H2;2004;2004;2004;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   49510413;NA;NA;0
H2;2004;2004;2004;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 3264954001;NA;NA;0
H2;2005;2005;2005;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  621733249;NA;NA;0
H2;2005;2005;2005;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1842724585;NA;NA;0
H2;2005;2005;2005;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;    7205041;NA;NA;0
H2;2005;2005;2005;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 4941481388;NA;NA;0
H2;2006;2006;2006;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  828181989;NA;NA;0
H2;2006;2006;2006;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 2738812104;NA;NA;0
H2;2006;2006;2006;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;  194727655;NA;NA;0
H2;2006;2006;2006;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 6824752531;NA;NA;0
H2;2007;2007;2007;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 1121735075;NA;NA;0
H2;2007;2007;2007;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 2794781549;NA;NA;0
H2;2007;2007;2007;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA;   36549975;NA;NA;0
H2;2007;2007;2007;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;ALL COMMODITIES;1;No Quantity;NA;NA;NA;NA;NA;NA; 5977818855;NA;NA;0
H3;2008;2008;2008;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 1636362794;NA;NA;0
H3;2008;2008;2008;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 3748243609;NA;NA;0
H3;2008;2008;2008;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  387465529;NA;NA;0
H3;2008;2008;2008;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 8435396046;NA;NA;0
H3;2009;2009;2009;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 1100283443;NA;NA;0
H3;2009;2009;2009;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 3962364517;NA;NA;0
H3;2009;2009;2009;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  124207624;NA;NA;0
H3;2009;2009;2009;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 4625857266;NA;NA;0
H3;2010;2010;2010;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 1606562314;NA;NA;0
H3;2010;2010;2010;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 5736443463;NA;NA;0
H3;2010;2010;2010;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  328738287;NA;NA;0
H3;2010;2010;2010;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 6077495979;NA;NA;0
H3;2011;2011;2011;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 3326990712;NA;NA;0
H3;2011;2011;2011;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 5138353016;NA;NA;0
H3;2011;2011;2011;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  191850041;NA;NA;0
